iter	Passed	Remaining
417	2834	3947
418	2841	3940
419	2849	3934
420	2855	3927
421	2862	3920
422	2868	3913
423	2875	3906
424	2882	3899
425	2889	3892
426	2895	3885
427	2902	3879
428	2909	3872
429	2916	3866
430	2923	3860
431	2930	3853
432	2937	3846
433	2944	3839
434	2951	3833
435	2957	3825
436	2964	3818
437	2970	3811
438	2977	3804
439	2984	3798
440	2991	3791
441	2997	3784
442	3004	3777
443	3010	3770
444	3017	3763
445	3024	3757
446	3031	3750
447	3039	3744
448	3045	3737
449	3052	3731
450	3059	3724
451	3066	3717
452	3073	3710
453	3079	3703
454	3086	3697
455	3093	3690
456	3100	3684
457	3107	3677
458	3114	3670
459	3121	3664
460	3128	3657
461	3135	3651
462	3143	3645
463	3150	3639
464	3157	3632
465	3164	3625
466	3170	3618
467	3177	3611
468	3183	3604
469	3190	3597
470	3197	3590
471	3203	3583
472	3209	3576
473	3216	3569
474	3222	3561
475	3229	3555
476	3235	3547
477	3242	3540
478	3248	3533
479	3255	3527
480	3262	3520
481	3269	3514
482	3276	3507
483	3283	3500
484	3290	3493
485	3297	3487
486	3304	3480
487	3311	3474
488	3318	3468
489	3325	3461
490	3332	3454
491	3339	3447
492	3346	3441
493	3353	3435
494	3360	3428
495	3367	3421
496	3374	3415
497	3381	3409
498	3388	3401
499	3394	3394
500	3401	3388
501	3408	3381
502	3415	3374
503	3421	3367
504	3428	3360
505	3435	3353
506	3441	3346
507	3448	3339
508	3454	3332
509	3460	3325
510	3467	3318
511	3474	3311
512	3480	3304
513	3486	3296
514	3493	3289
515	3501	3284
516	3508	3277
517	3515	3270
518	3521	3263
519	3529	3258
520	3536	3251
521	3543	3245
522	3551	3238
523	3558	3232
524	3565	3225
525	3571	3218
526	3579	3212
527	3585	3205
528	3592	3198
529	3599	3191
530	3606	3185
531	3613	3178
532	3620	3172
533	3627	3165
534	3634	3158
535	3641	3152
536	3648	3145
537	3654	3138
538	3660	3131
539	3667	3124
540	3674	3117
541	3680	3109
542	3686	3102
543	3692	3095
544	3699	3088
545	3706	3081
546	3712	3074
547	3718	3067
548	3725	3060
549	3732	3053
550	3740	3048
551	3748	3041
552	3755	3035
553	3763	3029
554	3770	3023
555	3777	3016
556	3784	3010
557	3792	3003
558	3798	2996
559	3805	2990
560	3812	2983
561	3819	2976
562	3826	2970
563	3832	2963
564	3839	2956
565	3846	2949
566	3853	2942
567	3860	2936
568	3867	2929
569	3874	2923
570	3881	2916
571	3888	2909
572	3894	2902
573	3901	2895
574	3908	2889
575	3915	2882
576	3922	2875
577	3928	2868
578	3935	2861
579	3941	2854
580	3948	2847
581	3955	2840
582	3961	2833
583	3969	2827
584	3976	2820
585	3983	2814
586	3990	2807
587	3997	2800
588	4003	2793
589	4010	2786
590	4016	2779
591	4023	2772
592	4030	2766
593	4036	2759
594	4043	2752
595	4050	2745
596	4056	2738
597	4063	2731
598	4070	2724
599	4077	2718
600	4083	2711
601	4090	2704
602	4096	2697
603	4103	2690
604	4110	2683
605	4117	2677
606	4124	2670
607	4131	2663
608	4138	2656
609	4145	2650
610	4151	2643
611	4159	2636
612	4166	2630
613	4172	2623
614	4179	2616
615	4187	2610
616	4194	2603
617	4200	2596
618	4207	2589
619	4214	2582
620	4220	2576
621	4227	2569
622	4234	2562
623	4240	2555
624	4247	2548
625	4253	2541
626	4260	2534
627	4267	2527
628	4273	2520
629	4280	2514
630	4287	2507
631	4294	2500
632	4300	2493
633	4307	2486
634	4314	2479
635	4320	2472
636	4327	2466
637	4333	2459
638	4340	2452
639	4347	2445
640	4353	2438
641	4360	2431
642	4367	2424
643	4374	2418
644	4382	2412
645	4389	2405
646	4395	2398
647	4402	2391
648	4408	2384
649	4416	2377
650	4422	2371
651	4429	2363
652	4435	2356
653	4441	2349
654	4448	2343
655	4455	2336
656	4461	2329
657	4467	2322
658	4474	2315
659	4481	2308
660	4488	2301
661	4494	2294
662	4501	2288
663	4507	2281
664	4514	2274
665	4521	2267
666	4527	2260
667	4534	2253
668	4541	2247
669	4548	2240
670	4554	2233
671	4563	2227
672	4570	2220
673	4581	2215
674	4588	2209
675	4595	2202
676	4602	2195
677	4610	2189
678	4616	2182
679	4624	2176
680	4632	2169
681	4640	2163
682	4646	2156
683	4653	2149
684	4659	2142
685	4666	2135
686	4672	2128
687	4679	2121
688	4685	2114
689	4691	2107
690	4698	2101
691	4705	2094
692	4711	2087
693	4718	2080
694	4725	2073
695	4732	2066
696	4738	2060
697	4745	2053
698	4752	2046
699	4758	2039
700	4764	2032
701	4771	2025
702	4779	2019
703	4786	2012
704	4792	2005
705	4799	1998
706	4805	1991
